#Stand	Length (m)	Cable type	Est. attenuation at 50 MHz (dBm)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)	Delay (ns)	Length (m)
130	230.70	CNT-240-DB	14.30	941.17	231.37	936.18	230.14	942.94	231.80	937.85	230.55
131	218.40	CNT-240-DB	13.54	894.13	219.80	889.43	218.65	901.11	221.52	896.49	220.38
132	214.80	CNT-240-DB	13.32	880.67	216.50	875.93	215.33	875.33	215.18	870.65	214.03
133	211.90	CNT-240-DB	13.14	863.32	212.23	858.97	211.16	873.97	214.85	869.50	213.75
134	207.20	CNT-240-DB	12.85	844.14	207.51	839.80	206.45	851.99	209.45	847.58	208.36
135	194.80	CNT-240-DB	12.08	799.47	196.53	795.14	195.47	797.04	195.94	792.82	194.90
136	188.50	CNT-240-DB	11.69	722.83	189.99	768.80	188.99	774.30	190.35	770.30	189.36
137	190.90	CNT-240-DB	11.84	779.28	191.57	775.22	190.57	784.20	192.78	779.92	191.73
138	173.90	CNT-240-DB	10.78	708.80	174.24	705.22	173.37	714.28	175.59	710.56	174.68
139	169.00	CNT-240-DB	10.48	689.35	169.46	685.87	168.61	697.11	171.37	693.58	170.50
140	168.10	CNT-240-DB	10.42	686.30	168.71	684.12	168.18	692.30	170.19	690.15	169.66
141	168.70	CNT-240-DB	10.46	689.96	169.61	720.93	177.23	691.61	170.02	687.88	169.10
142	160.00	CNT-240-DB	9.92	652.04	160.29	648.77	159.49	660.77	162.44	657.40	161.61
143	156.90	CNT-240-DB	9.73	639.14	157.12	625.88	156.32	644.58	158.46	641.22	157.63
144	157.90	CNT-240-DB	9.79	642.26	157.89	638.92	157.07	645.26	158.62	641.88	157.79
145	147.50	CNT-240-DB	9.15	604.13	148.51	601.00	147.74	605.63	148.88	602.52	148.12
146	138.80	CNT-240-DB	8.61	566.20	139.19	563.06	138.42	566.93	139.37	563.82	138.60
147	140.10	CNT-240-DB	8.69	573.10	140.88	570.07	140.14	575.31	141.43	572.33	140.70
148	127.00	CNT-240-DB	7.87	524.45	128.93	521.63	128.23	521.15	128.12	518.39	127.43
149	119.50	CNT-240-DB	7.41	490.03	120.46	487.42	119.82	492.91	121.17	490.24	120.52
150	109.80	CNT-240-DB	6.81	446.15	109.68	443.70	109.07	447.07	109.90	444.56	109.29
151	115.60	CNT-240-DB	7.17	471.85	116.00	469.41	115.40	474.64	116.68	472.20	116.08
152	106.30	CNT-240-DB	6.59	433.04	106.46	430.75	105.89	432.98	106.44	430.55	105.84
153	97.50	CNT-240-DB	6.05	398.56	97.98	397.38	97.69	408.00	100.30	406.69	99.98
154	88.50	CNT-240-DB	5.49	360.82	88.70	358.99	88.25	363.93	89.47	362.06	89.10
155	85.60	CNT-240-DB	5.31	348.59	85.69	346.83	85.26	351.82	86.49	350.03	86.05
156	82.10	CNT-240-DB	5.09	334.90	82.33	333.84	82.11	334.61	82.26	333.55	82.00
157	76.40	CNT-240-DB	4.74	311.49	76.57	309.93	76.19	314.98	77.43	313.37	77.04
158	51.60	CNT-240-DB	3.20	210.90	51.85	210.23	51.68	211.76	52.06	211.09	51.89
159	48.40	CNT-240-DB	3.00	198.16	48.71	197.03	48.44	199.22	48.98	198.12	48.70
160	37.50	CNT-240-DB	2.33	153.33	37.69	152.51	37.49	154.78	38.05	153.94	37.84
161	245.30	CNT-240-DB	15.21	1.00	245.85	995.00	244.60	1.05	257.20	1.41	255.88
162	222.90	CNT-240-DB	13.82	919.11	225.94	914.29	224.76	911.07	223.97	906.33	222.80
163	220.70	CNT-240-DB	13.68	897.72	220.69	893.02	219.53	909.89	223.68	905.06	222.49
164	207.00	CNT-240-DB	12.83	843.82	207.44	839.52	206.38	847.17	208.26	842.80	207.18
165	197.80	CNT-240-DB	12.26	811.61	199.52	806.98	198.38	811.42	199.47	806.64	198.30
166	184.90	CNT-240-DB	11.46	758.35	186.42	754.50	185.48	757.06	186.11	753.08	185.13
167	177.30	CNT-240-DB	10.99	743.80	182.85	739.93	181.90	723.64	177.89	719.84	176.96
168	176.40	CNT-240-DB	10.94	717.94	176.49	714.12	175.55	728.92	179.19	725.09	178.25
169	169.30	CNT-240-DB	10.50	690.34	169.71	686.57	168.78	691.26	169.93	687.50	169.01
